"Kod";"Nazwa";"czytelnicy w ciągu roku;2024;[osoba]";
0000000;"POLSKA";5366566;
0201000;"Powiat bolesławiecki";10087;
0202000;"Powiat dzierżoniowski";10366;
0203000;"Powiat głogowski";5538;
0204000;"Powiat górowski";3560;
0205000;"Powiat jaworski";5118;
0206000;"Powiat karkonoski";4960;
0207000;"Powiat kamiennogórski";4218;
0208000;"Powiat kłodzki";18980;
0209000;"Powiat legnicki";4954;
0210000;"Powiat lubański";4961;
0211000;"Powiat lubiński";8604;
0212000;"Powiat lwówecki";4199;
0213000;"Powiat milicki";3781;
0214000;"Powiat oleśnicki";12381;
0215000;"Powiat oławski";9516;
0216000;"Powiat polkowicki";5562;
0217000;"Powiat strzeliński";4999;
0218000;"Powiat średzki";6339;
0219000;"Powiat świdnicki";18154;
0220000;"Powiat trzebnicki";7957;
0221000;"Powiat wałbrzyski";6383;
0222000;"Powiat wołowski";4792;
0223000;"Powiat wrocławski";25618;
0224000;"Powiat ząbkowicki";5055;
0225000;"Powiat zgorzelecki";9539;
0226000;"Powiat złotoryjski";4721;
0261000;"Powiat m. Jelenia Góra";8898;
0262000;"Powiat m. Legnica";9601;
0264000;"Powiat m. Wrocław";139439;
0265000;"Powiat m. Wałbrzych od 2013";7393;
0401000;"Powiat aleksandrowski";5605;
0402000;"Powiat brodnicki";8872;
0403000;"Powiat bydgoski";11345;
0404000;"Powiat chełmiński";5854;
0405000;"Powiat golubsko-dobrzyński";3456;
0406000;"Powiat grudziądzki";3949;
0407000;"Powiat inowrocławski";14868;
0408000;"Powiat lipnowski";6195;
0409000;"Powiat mogileński";5472;
0410000;"Powiat nakielski";7048;
0411000;"Powiat radziejowski";4946;
0412000;"Powiat rypiński";4975;
0413000;"Powiat sępoleński";3736;
0414000;"Powiat świecki";11491;
0415000;"Powiat toruński";10487;
0416000;"Powiat tucholski";4969;
0417000;"Powiat wąbrzeski";3814;
0418000;"Powiat włocławski";9884;
0419000;"Powiat żniński";10412;
0461000;"Powiat m. Bydgoszcz";30119;
0462000;"Powiat m. Grudziądz";9860;
0463000;"Powiat m. Toruń";23960;
0464000;"Powiat m. Włocławek";14104;
0601000;"Powiat bialski";10814;
0602000;"Powiat biłgorajski";11141;
0603000;"Powiat chełmski";5969;
0604000;"Powiat hrubieszowski";6285;
0605000;"Powiat janowski";6180;
0606000;"Powiat krasnostawski";8567;
0607000;"Powiat kraśnicki";9986;
0608000;"Powiat lubartowski";14482;
0609000;"Powiat lubelski";22217;
0610000;"Powiat łęczyński";12035;
0611000;"Powiat łukowski";12680;
0612000;"Powiat opolski";5496;
0613000;"Powiat parczewski";3000;
0614000;"Powiat puławski";21222;
0615000;"Powiat radzyński";8665;
0616000;"Powiat rycki";5640;
0617000;"Powiat świdnicki";13654;
0618000;"Powiat tomaszowski";13003;
0619000;"Powiat włodawski";4312;
0620000;"Powiat zamojski";11211;
0661000;"Powiat m. Biała Podlaska";9020;
0662000;"Powiat m. Chełm";6971;
0663000;"Powiat m. Lublin";61239;
0664000;"Powiat m. Zamość";10046;
0801000;"Powiat gorzowski";6403;
0802000;"Powiat krośnieński";4453;
0803000;"Powiat międzyrzecki";9017;
0804000;"Powiat nowosolski";7842;
0805000;"Powiat słubicki";4519;
0806000;"Powiat strzelecko-drezdenecki";5373;
0807000;"Powiat sulęciński";3476;
0808000;"Powiat świebodziński";3672;
0809000;"Powiat zielonogórski";7792;
0810000;"Powiat żagański";10071;
0811000;"Powiat żarski";9977;
0812000;"Powiat wschowski";2789;
0861000;"Powiat m. Gorzów Wielkopolski";14637;
0862000;"Powiat m. Zielona Góra";20089;
1001000;"Powiat bełchatowski";12530;
1002000;"Powiat kutnowski";9168;
1003000;"Powiat łaski";5626;
1004000;"Powiat łęczycki";5203;
1005000;"Powiat łowicki";7405;
1006000;"Powiat łódzki wschodni";6735;
1007000;"Powiat opoczyński";6668;
1008000;"Powiat pabianicki";15956;
1009000;"Powiat pajęczański";6120;
1010000;"Powiat piotrkowski";8431;
1011000;"Powiat poddębicki";4543;
1012000;"Powiat radomszczański";15146;
1013000;"Powiat rawski";5562;
1014000;"Powiat sieradzki";16629;
1015000;"Powiat skierniewicki";4067;
1016000;"Powiat tomaszowski";10207;
1017000;"Powiat wieluński";14213;
1018000;"Powiat wieruszowski";4793;
1019000;"Powiat zduńskowolski";6189;
1020000;"Powiat zgierski";15805;
1021000;"Powiat brzeziński";3279;
1061000;"Powiat m. Łódź";154251;
1062000;"Powiat m. Piotrków Trybunalski";14482;
1063000;"Powiat m. Skierniewice";7570;
1201000;"Powiat bocheński";15597;
1202000;"Powiat brzeski";12544;
1203000;"Powiat chrzanowski";22118;
1204000;"Powiat dąbrowski";6512;
1205000;"Powiat gorlicki";16059;
1206000;"Powiat krakowski";38469;
1207000;"Powiat limanowski";18900;
1208000;"Powiat miechowski";5678;
1209000;"Powiat myślenicki";17308;
1210000;"Powiat nowosądecki";32491;
1211000;"Powiat nowotarski";25237;
1212000;"Powiat olkuski";22513;
1213000;"Powiat oświęcimski";25235;
1214000;"Powiat proszowicki";4501;
1215000;"Powiat suski";13444;
1216000;"Powiat tarnowski";28426;
1217000;"Powiat tatrzański";10247;
1218000;"Powiat wadowicki";22566;
1219000;"Powiat wielicki";25580;
1261000;"Powiat m. Kraków";251483;
1262000;"Powiat m. Nowy Sącz";14081;
1263000;"Powiat m. Tarnów";19630;
1401000;"Powiat białobrzeski";4069;
1402000;"Powiat ciechanowski";8529;
1403000;"Powiat garwoliński";15705;
1404000;"Powiat gostyniński";3712;
1405000;"Powiat grodziski";21066;
1406000;"Powiat grójecki";10733;
1407000;"Powiat kozienicki";8607;
1408000;"Powiat legionowski";20940;
1409000;"Powiat lipski";4233;
1410000;"Powiat łosicki";2458;
1411000;"Powiat makowski";4806;
1412000;"Powiat miński";24404;
1413000;"Powiat mławski";4584;
1414000;"Powiat nowodworski";11422;
1415000;"Powiat ostrołęcki";7524;
1416000;"Powiat ostrowski";8681;
1417000;"Powiat otwocki";18531;
1418000;"Powiat piaseczyński";39207;
1419000;"Powiat płocki";8807;
1420000;"Powiat płoński";7673;
1421000;"Powiat pruszkowski";27013;
1422000;"Powiat przasnyski";5074;
1423000;"Powiat przysuski";5199;
1424000;"Powiat pułtuski";4881;
1425000;"Powiat radomski";15836;
1426000;"Powiat siedlecki";6818;
1427000;"Powiat sierpecki";10812;
1428000;"Powiat sochaczewski";8701;
1429000;"Powiat sokołowski";4569;
1430000;"Powiat szydłowiecki";2959;
1432000;"Powiat warszawski zachodni";16268;
1433000;"Powiat węgrowski";6922;
1434000;"Powiat wołomiński";32371;
1435000;"Powiat wyszkowski";7488;
1436000;"Powiat zwoleński";5914;
1437000;"Powiat żuromiński";3404;
1438000;"Powiat żyrardowski";8411;
1461000;"Powiat m. Ostrołęka";4781;
1462000;"Powiat m. Płock";30224;
1463000;"Powiat m. Radom";21185;
1464000;"Powiat m. Siedlce";11156;
1465000;"Powiat m. st. Warszawa";433168;
1601000;"Powiat brzeski";11983;
1602000;"Powiat głubczycki";4622;
1603000;"Powiat kędzierzyńsko-kozielski";11124;
1604000;"Powiat kluczborski";5847;
1605000;"Powiat krapkowicki";11070;
1606000;"Powiat namysłowski";3699;
1607000;"Powiat nyski";13736;
1608000;"Powiat oleski";9284;
1609000;"Powiat opolski";14795;
1610000;"Powiat prudnicki";4689;
1611000;"Powiat strzelecki";7553;
1661000;"Powiat m. Opole";31924;
1801000;"Powiat bieszczadzki";2621;
1802000;"Powiat brzozowski";8153;
1803000;"Powiat dębicki";15420;
1804000;"Powiat jarosławski";10316;
1805000;"Powiat jasielski";12540;
1806000;"Powiat kolbuszowski";9609;
1807000;"Powiat krośnieński";11899;
1808000;"Powiat leżajski";9776;
1809000;"Powiat lubaczowski";6957;
1810000;"Powiat łańcucki";11812;
1811000;"Powiat mielecki";26640;
1812000;"Powiat niżański";7035;
1813000;"Powiat przemyski";4669;
1814000;"Powiat przeworski";6930;
1815000;"Powiat ropczycko-sędziszowski";7564;
1816000;"Powiat rzeszowski";22577;
1817000;"Powiat sanocki";12945;
1818000;"Powiat stalowowolski";17608;
1819000;"Powiat strzyżowski";9453;
1820000;"Powiat tarnobrzeski";4017;
1821000;"Powiat leski";3027;
1861000;"Powiat m. Krosno";10661;
1862000;"Powiat m. Przemyśl";7975;
1863000;"Powiat m. Rzeszów";37933;
1864000;"Powiat m. Tarnobrzeg";9100;
2001000;"Powiat augustowski";6561;
2002000;"Powiat białostocki";16637;
2003000;"Powiat bielski";5236;
2004000;"Powiat grajewski";3589;
2005000;"Powiat hajnowski";4925;
2006000;"Powiat kolneński";3242;
2007000;"Powiat łomżyński";4536;
2008000;"Powiat moniecki";3354;
2009000;"Powiat sejneński";1358;
2010000;"Powiat siemiatycki";4493;
2011000;"Powiat sokólski";6115;
2012000;"Powiat suwalski";3728;
2013000;"Powiat wysokomazowiecki";3723;
2014000;"Powiat zambrowski";2414;
2061000;"Powiat m. Białystok";46807;
2062000;"Powiat m. Łomża";7250;
2063000;"Powiat m. Suwałki";10823;
2201000;"Powiat bytowski";7146;
2202000;"Powiat chojnicki";8833;
2203000;"Powiat człuchowski";6362;
2204000;"Powiat gdański";12093;
2205000;"Powiat kartuski";14839;
2206000;"Powiat kościerski";7734;
2207000;"Powiat kwidzyński";7738;
2208000;"Powiat lęborski";9355;
2209000;"Powiat malborski";4786;
2210000;"Powiat nowodworski";4837;
2211000;"Powiat pucki";6642;
2212000;"Powiat słupski";9064;
2213000;"Powiat starogardzki";12089;
2214000;"Powiat tczewski";13328;
2215000;"Powiat wejherowski";37222;
2216000;"Powiat sztumski";3352;
2261000;"Powiat m. Gdańsk";108200;
2262000;"Powiat m. Gdynia";51748;
2263000;"Powiat m. Słupsk";12660;
2264000;"Powiat m. Sopot";8316;
2401000;"Powiat będziński";21298;
2402000;"Powiat bielski";30967;
2403000;"Powiat cieszyński";23105;
2404000;"Powiat częstochowski";12946;
2405000;"Powiat gliwicki";13576;
2406000;"Powiat kłobucki";9585;
2407000;"Powiat lubliniecki";12183;
2408000;"Powiat mikołowski";14611;
2409000;"Powiat myszkowski";5471;
2410000;"Powiat pszczyński";15584;
2411000;"Powiat raciborski";15073;
2412000;"Powiat rybnicki";9753;
2413000;"Powiat tarnogórski";17664;
2414000;"Powiat bieruńsko-lędziński";7182;
2415000;"Powiat wodzisławski";20590;
2416000;"Powiat zawierciański";18068;
2417000;"Powiat żywiecki";18962;
2461000;"Powiat m. Bielsko-Biała";34398;
2462000;"Powiat m. Bytom";10812;
2463000;"Powiat m. Chorzów";13512;
2464000;"Powiat m. Częstochowa";31598;
2465000;"Powiat m. Dąbrowa Górnicza";15746;
2466000;"Powiat m. Gliwice";44820;
2467000;"Powiat m. Jastrzębie-Zdrój";16213;
2468000;"Powiat m. Jaworzno";19834;
2469000;"Powiat m. Katowice";56654;
2470000;"Powiat m. Mysłowice";9008;
2471000;"Powiat m. Piekary Śląskie";5664;
2472000;"Powiat m. Ruda Śląska";10922;
2473000;"Powiat m. Rybnik";19935;
2474000;"Powiat m. Siemianowice Śląskie";7360;
2475000;"Powiat m. Sosnowiec";25001;
2476000;"Powiat m. Świętochłowice";4909;
2477000;"Powiat m. Tychy";25324;
2478000;"Powiat m. Zabrze";12915;
2479000;"Powiat m. Żory";11161;
2601000;"Powiat buski";6022;
2602000;"Powiat jędrzejowski";7584;
2603000;"Powiat kazimierski";2978;
2604000;"Powiat kielecki";16364;
2605000;"Powiat konecki";6891;
2606000;"Powiat opatowski";5847;
2607000;"Powiat ostrowiecki";9038;
2608000;"Powiat pińczowski";5150;
2609000;"Powiat sandomierski";7293;
2610000;"Powiat skarżyski";5457;
2611000;"Powiat starachowicki";8207;
2612000;"Powiat staszowski";7402;
2613000;"Powiat włoszczowski";6318;
2661000;"Powiat m. Kielce";29210;
2801000;"Powiat bartoszycki";5098;
2802000;"Powiat braniewski";4199;
2803000;"Powiat działdowski";7159;
2804000;"Powiat elbląski";6237;
2805000;"Powiat ełcki";6671;
2806000;"Powiat giżycki";5685;
2807000;"Powiat iławski";10099;
2808000;"Powiat kętrzyński";7130;
2809000;"Powiat lidzbarski";4085;
2810000;"Powiat mrągowski";5062;
2811000;"Powiat nidzicki";3071;
2812000;"Powiat nowomiejski";5143;
2813000;"Powiat olecki";2909;
2814000;"Powiat olsztyński";11399;
2815000;"Powiat ostródzki";11345;
2816000;"Powiat piski";3770;
2817000;"Powiat szczycieński";7822;
2818000;"Powiat gołdapski";2266;
2819000;"Powiat węgorzewski";2808;
2861000;"Powiat m. Elbląg";11865;
2862000;"Powiat m. Olsztyn";29198;
3001000;"Powiat chodzieski";6840;
3002000;"Powiat czarnkowsko-trzcianecki";10558;
3003000;"Powiat gnieźnieński";14770;
3004000;"Powiat gostyński";7601;
3005000;"Powiat grodziski";6059;
3006000;"Powiat jarociński";11108;
3007000;"Powiat kaliski";10825;
3008000;"Powiat kępiński";5650;
3009000;"Powiat kolski";7583;
3010000;"Powiat koniński";14581;
3011000;"Powiat kościański";8086;
3012000;"Powiat krotoszyński";9520;
3013000;"Powiat leszczyński";5010;
3014000;"Powiat międzychodzki";3637;
3015000;"Powiat nowotomyski";10539;
3016000;"Powiat obornicki";5971;
3017000;"Powiat ostrowski";18525;
3018000;"Powiat ostrzeszowski";4983;
3019000;"Powiat pilski";17140;
3020000;"Powiat pleszewski";8335;
3021000;"Powiat poznański";77536;
3022000;"Powiat rawicki";8100;
3023000;"Powiat słupecki";5413;
3024000;"Powiat szamotulski";10081;
3025000;"Powiat średzki";10030;
3026000;"Powiat śremski";6499;
3027000;"Powiat turecki";7602;
3028000;"Powiat wągrowiecki";11198;
3029000;"Powiat wolsztyński";6345;
3030000;"Powiat wrzesiński";9786;
3031000;"Powiat złotowski";6710;
3061000;"Powiat m. Kalisz";11752;
3062000;"Powiat m. Konin";10673;
3063000;"Powiat m. Leszno";13830;
3064000;"Powiat m. Poznań";73066;
3201000;"Powiat białogardzki";3420;
3202000;"Powiat choszczeński";4318;
3203000;"Powiat drawski";4523;
3204000;"Powiat goleniowski";7775;
3205000;"Powiat gryficki";4123;
3206000;"Powiat gryfiński";8249;
3207000;"Powiat kamieński";5729;
3208000;"Powiat kołobrzeski";8615;
3209000;"Powiat koszaliński";11209;
3210000;"Powiat myśliborski";5679;
3211000;"Powiat policki";7167;
3212000;"Powiat pyrzycki";3265;
3213000;"Powiat sławieński";4632;
3214000;"Powiat stargardzki";11754;
3215000;"Powiat szczecinecki";6162;
3216000;"Powiat świdwiński";2472;
3217000;"Powiat wałecki";3437;
3218000;"Powiat łobeski";3383;
3261000;"Powiat m. Koszalin";14667;
3262000;"Powiat m. Szczecin";56282;
3263000;"Powiat m. Świnoujście";2798;
